id,run no.,batch_size,train_k,train_n,ch_conv,l_hidden,dropout,nan_mode,class_importance,lr,all_best_val_runs,all_test_runs
"train(k)[3200, 600]__batch128_model[128, 64, 128][64, 0]_None_do[0.4, 0.4]_lr[0.01]_binary",0,128.0,"[3200, 600]",,"[128, 64, 128]","[64, 0]","[0.4, 0.4]",,"[0.2, 0.8]",0.01,"Metric(tss: 86.27, hss2:  71.45, cm: [[2294, 299], [12, 534]])","Metric(tss: 76.67, hss2:  27.80, cm: [[270398, 20706], [896, 4630]])"
"train(k)[1200, 600]__batch128_model[32, 32, 16][64, 32]_None_do[0.6000000000000001, 0.4]_lr[0.01]_binary",0,128.0,"[1200, 600]",,"[32, 32, 16]","[64, 32]","[0.6000000000000001, 0.4]",,"[0.3, 0.7]",0.01,"Metric(tss: 87.67, hss2:  83.82, cm: [[880, 111], [6, 525]])","Metric(tss: 82.02, hss2:  18.89, cm: [[253191, 37913], [274, 5252]])"
"train(k)[1200, 400]__batchNone_model[128, 16, 128][8, 8]_0_do[0.6000000000000001, 0.2]_lr[0.01]_binary",0,,"[1200, 400]",,"[128, 16, 128]","[8, 8]","[0.6000000000000001, 0.2]",0,,0.01,"Metric(tss: 88.97, hss2:  83.34, cm: [[1091, 96], [12, 396]])","Metric(tss: 73.82, hss2:  20.38, cm: [[290651, 34300], [974, 5260]])"
"train(n)[3600, 1400]__batch128_model[64, 64, 64][16, 32]_None_do[0.6000000000000001, 0.2]_lr[0.01]_binary",0,128.0,,"[3600, 1400]","[64, 64, 64]","[16, 32]","[0.6000000000000001, 0.2]",,"[0.3, 0.7]",0.01,"Metric(tss: 86.76, hss2:  80.76, cm: [[2834, 350], [29, 1259]])","Metric(tss: 79.58, hss2:  23.60, cm: [[263781, 27323], [610, 4916]])"
"train(n)[2000, 1400]__batch128_model[32, 64, 128][8, 16]_0_do[0.0, 0.0]_lr[0.01]_binary",0,128.0,,"[2000, 1400]","[32, 64, 128]","[8, 16]","[0.0, 0.0]",0,"[0.2, 0.8]",0.01,"Metric(tss: 66.29, hss2:  62.77, cm: [[1394, 596], [53, 1357]])","Metric(tss: 57.98, hss2:  5.62, cm: [[206069, 118882], [339, 5895]])"
"train(k)[2800, 1000]__batch128_model[64, 64, 64][32, 32]_None_do[0.4, 0.6000000000000001]_lr[0.01]_binary",0,128.0,"[2800, 1000]",,"[64, 64, 64]","[32, 32]","[0.4, 0.6000000000000001]",,"[0.4, 0.6]",0.01,"Metric(tss: 31.05, hss2:  36.79, cm: [[2159, 113], [570, 321]])","Metric(tss: -11.56, hss2: -0.87, cm: [[148674, 142430], [3461, 2065]])"
"train(n)[4000, 1400]__batchNone_model[64, 32, 128][16, 16]_avg_do[0.4, 0.0]_lr[0.01]_binary",0,,,"[4000, 1400]","[64, 32, 128]","[16, 16]","[0.4, 0.0]",avg,"[0.2, 0.8]",0.01,"Metric(tss: 87.25, hss2:  80.37, cm: [[3549, 417], [32, 1402]])","Metric(tss: 64.68, hss2:  7.07, cm: [[221189, 103762], [211, 6023]])"
"train(n)[1600, 800]__batchNone_model[16, 128, 128][32, 8]_None_do[0.0, 0.6000000000000001]_lr[0.01]_binary",0,,,"[1600, 800]","[16, 128, 128]","[32, 8]","[0.0, 0.6000000000000001]",,"[0.4, 0.6]",0.01,"Metric(tss: 84.11, hss2:  80.59, cm: [[1254, 163], [32, 697]])","Metric(tss: 81.30, hss2:  21.60, cm: [[259528, 31576], [434, 5092]])"
"train(k)[400, 800]__batchNone_model[64, 32, 128][64, 8]_0_do[0.0, 0.4]_lr[0.01]_binary",0,,"[400, 800]",,"[64, 32, 128]","[64, 8]","[0.0, 0.4]",0,"[0.2, 0.8]",0.01,"Metric(tss: 80.41, hss2:  83.16, cm: [[338, 73], [14, 750]])","Metric(tss: 75.70, hss2:  11.25, cm: [[251979, 72972], [115, 6119]])"
"train(n)[1600, 1400]__batch1024_model[32, 32, 32][16, 8]_None_do[0.6000000000000001, 0.0]_lr[0.01]_binary",0,1024.0,,"[1600, 1400]","[32, 32, 32]","[16, 8]","[0.6000000000000001, 0.0]",,"[0.3, 0.7]",0.01,"Metric(tss: 87.16, hss2:  86.77, cm: [[1271, 141], [36, 1224]])","Metric(tss: 80.64, hss2:  16.79, cm: [[248020, 43084], [252, 5274]])"
